Project ID	GeoNameID	   0
P089040	1140026	   1
P089040	1132366	   4
P089040	1138336	   1
P087860	1138958	   1
P112873	1135690	   4
P112873	1138335	   4
P112873	7053281	   3
P112872	1138958	   1
P112873	1138957	   4
P112873	1140025	   4
P112872	1139715	   1
P110893	1133616	   1
P112872	1136469	   1
P089040	1138958	   1
P089040	1147290	   1
P089040	1149361	   8
P089040	1147288	   4
P112872	1131821	   4
P112872	1148658	   1
P112872	1148541	   1
P112872	1141189	   1
P112872	1140026	   1
P112872	1142457	   1
P112872	1142404	   1
P112872	1454002	   1
P112872	1133616	   1
P112872	7053803	   3
P112872	1123906	   1
P112872	1122264	   1
P112872	1122273	   1
P112872	1123230	   1
P112872	1120985	   1
P078936	1147239	   4
P078936	1138335	   4
P078936	1444362	   4
P078936	1135702	   4
P078936	1135022	   4
P078936	1444363	   4
P078936	1131256	   4
P078936	1121143	   4
P078936	6957553	   4
P087860	1149361	   6
P097030	1149361	   8
P098118	1149361	   8
P101502	1149361	   6
P099980	1149361	   8
P103343	1149361	   6
P102573	1149361	   6
P105492	1149361	   6
P106259	1149361	   6
P110893	1138335	   4
P110893	1138958	   1
P110893	7053281	   3
P110893	1135690	   4
P110893	1140025	   4
P110893	1138957	   4
P112873	1133616	   3
P113421	1138958	   1
P112446	6957555	   4
P112446	1138255	   4
P112446	1138957	   4
P112446	1140043	   4
P112446	1142263	   4
P112446	1147288	   4
P112446	1147707	   4
P112446	1131821	   4
P112446	1131054	   4
P112446	1127766	   4
P112446	1127106	   4
P112446	1121863	   4
P112873	1131627	   1
P112873	1121143	   4
P112873	6957555	   4
P112873	1147239	   4
P112873	1444362	   4
P112873	1135702	   4
P112873	1135022	   4
P112873	6957553	   4
P112873	1131256	   4
P113421	1149361	   8
P117103	1149361	   6
P120669	1149361	   8
P121805	1149361	   6
P118828	1140919	   1
P118828	1149552	   1
P118828	1148853	   1
P118828	7053952	   3
P118828	7053319	   3
P118828	7052664	   3
P118828	7053955	   3
P118828	7052997	   3
P118828	7053314	   3
P118828	7053321	   3
P118828	7053794	   3
P118828	7053956	   3
P118828	7053257	   3
P118828	1458077	   1
P118828	7701545	   3
P118828	7701627	   3
P118828	1136354	   1
P118828	7054032	   3
P118828	1143092	   1
P118828	1142943	   1
P118828	1142738	   1
P118828	7052902	   3
P118828	7052668	   3
P118828	1142170	   1
P118828	1141805	   1
P118828	1140918	   3
P118828	1455122	   1
P118828	1455121	   1
P118828	7053946	   3
P118828	7110309	   1
P118828	7053337	   3
P118828	7053326	   3
P118828	1142457	   1
P118828	7052669	   3
P118828	7052958	   3
P118828	7053979	   3
P118828	7053980	   3
P118828	7052672	   3
P118828	7053259	   3
P118828	7052906	   3
P118828	7052674	   3
P118828	1135820	   1
P118828	7053002	   3
P118828	7053981	   3
P118828	7052962	   3
P118828	7053813	   3
P118828	7053801	   3
P118828	7701422	   3
P118828	7052908	   3
P118828	7053964	   3
P118828	7053080	   3
P118828	1131188	   5
P118828	1468632	   1
P118828	7053048	   3
P118828	1130497	   1
P118828	7053261	   3
P118828	7052795	   3
P118828	1129824	   1
P118828	1454610	   1
P118828	1129867	   1
P118828	7701613	   3
P118828	7701550	   3
P118828	1129555	   1
P118828	7701614	   3
P118828	1467238	   1
P118828	7053004	   3
P118828	7054040	   3
P118828	7053948	   3
P118828	1127377	   1
P118828	7053783	   3
P118828	7053949	   3
P118828	7053010	   3
P118828	1125862	   1
P118828	7054334	   3
P118828	1125492	   1
P118828	7053817	   3
P118828	1124109	   1
P118828	7052694	   3
P118828	7052915	   3
P118828	1127766	   3
P118828	7053791	   3
P106170	1149361	   8
P107101	1138958	   1
P107372	1149361	   8
P111825	1350059	   1
P112097	1149361	   8
P120398	1149361	   8
P120398	1140025	   4
P120398	1138957	   4
P120398	1147288	   4
P120398	1132366	   4
P120398	1147239	   4
P120565	1147288	   4
P120565	1138957	   4
P120565	1127766	   4
P120565	1149361	   6
P121755	7052916	   3
P121755	7732337	   3
P121755	1121381	   1
P121755	1134887	   1
P121755	7052668	   3
P121755	7052912	   3
P121755	7732055	   3
P121755	1145904	   1
P121755	7052997	   3
P121755	7053000	   3
P121755	1138958	   2
P121755	1142758	   1
P121755	7729833	   3
P121755	1142170	   1
P121755	1135689	   1
P121755	7052679	   3
P121755	7053319	   3
P121755	7053316	   3
P121755	7053332	   3
P121755	1147242	   1
P121755	7054042	   3
P121755	7052915	   3
P121755	1125271	   1
P121755	1131162	   1
P121755	7732654	   3
P121755	7053002	   3
P121755	1143753	   1
P121755	1131054	   4
P121755	1149361	   8
P121755	1137458	   1
P121883	1149361	   6
P122235	7053969	   3
P122235	7052897	   3
P122235	7729833	   3
P122235	7053949	   3
P122235	7054336	   3
P122235	7053262	   3
P122235	7052664	   3
P122235	7052998	   3
P122235	7732204	   3
P122235	7053300	   3
P122235	1149361	   6
P122235	7911046	   3
P122235	7732654	   3
P122235	7052902	   3
P122235	7053000	   3
P122235	7052668	   3
P122235	7729836	   3
P122235	7053279	   3
P122235	7053055	   3
P122235	7053056	   3
P122235	7052670	   3
P122235	7053295	   3
P122235	7053316	   3
P122235	7052672	   3
P122235	7052905	   3
P122235	7052933	   3
P122235	7052922	   3
P122235	7053341	   3
P122235	7701422	   3
P122235	7052792	   3
P122235	7052908	   3
P122235	7053963	   3
P122235	7053288	   3
P122235	7053047	   3
P122235	7052936	   3
P122235	7052795	   3
P122235	1129867	   3
P122235	7053973	   3
P122235	7053290	   3
P122235	7052956	   3
P122235	7053948	   3
P122235	7053966	   3
P122235	7053982	   3
P122235	7052926	   3
P122235	7052688	   3
P122235	7052690	   3
P122235	7053951	   3
P122235	7053293	   3
P122235	7054324	   3
P122235	7052910	   3
P122235	7054035	   3
P122235	7053333	   3
P122235	1147745	   4
P122235	1135022	   4
P122235	1132366	   4
P122235	1142263	   4
P122235	1141103	   4
P122235	1138255	   4
P122235	1127766	   4
P055383	3344951	   4
P055383	3344952	   4
P055383	3344950	   4
P055383	3344947	   4
P055383	783754	   8
P078933	3343977	   1
P078933	3183651	   1
P078933	7932375	   1
P078933	782061	   1
P078933	782582	   1
P078933	781988	   1
P078933	782070	   1
P078933	782685	   1
P078933	2525810	   1
P078933	3183684	   1
P078933	3183875	   1
P078933	3185082	   1
P078933	3185270	   1
P078933	3186145	   1
P078933	782661	   1
P078933	782756	   1
P078933	3183814	   1
P078933	3184081	   1
P078933	3184935	   1
P078933	3185672	   1
P078933	3185728	   1
P082814	783754	   8
P084605	3338383	   3
P084605	3184083	   3
P084605	781913	   3
P084605	7894239	   5
P084605	783754	   8
P086807	7874164	   1
P086807	783754	   8
P086807	3183721	   3
P086807	363245	   3
P086807	3185803	   1
P086807	3184370	   1
P086807	3183686	   1
P086807	3184555	   1
P086807	2525810	   1
P086807	3184455	   1
P086807	2595331	   1
P086807	3184576	   1
P086807	3184419	   1
P086807	3185377	   1
P089061	865731	   3
P089061	3344949	   4
P089061	865734	   4
P089061	3344949	   4
P089061	3185254	   1
P089061	3184070	   5
P089061	3184781	   5
P089061	865735	   4
P089061	865732	   4
P096263	3184081	   1
P096263	3185728	   1
P096263	782756	   1
P096263	3184862	   1
P096263	3184935	   1
P096263	783754	   8
P096643	783754	   8
P096643	3183875	   1
P107382	783754	   8
P107833	3184757	   1
P107833	783325	   1
P107833	783265	   3
P107833	3185674	   3
P107833	782441	   1
P107833	3184935	   1
P107833	3183879	   3
P107833	3184081	   3
P107833	363256	   1
P107833	3343744	   1
P107833	363385	   1
P107833	781993	   1
P107833	782383	   1
P107833	834052	   1
P107833	783346	   3
P107833	3185289	   1
P107833	363200	   1
P107833	782671	   1
P107833	782748	   1
P107833	783261	   1
P107833	865204	   1
P107833	3183780	   1
P107833	3183959	   1
P107833	3184609	   1
P107833	3184791	   1
P107833	3185504	   1
P107833	3185823	   1
P107833	3186093	   1
P107833	865730	   4
P110845	3183875	   1
P116937	783754	   8
P096360	2236568	   1
P096360	2239076	   1
P096360	2239520	   1
P096360	2239862	   1
P096360	2240449	   1
P096360	3347353	   1
P096360	3347719	   1
P096360	3347762	   1
P096360	3348078	   1
P096360	3348313	   1
P093699	2239050	   1
P093699	2239859	   3
P093699	2240548	   1
P093699	2242015	   1
P093699	2242998	   1
P093699	2243127	   1
P093699	2243159	   1
P093699	3345495	   1
P093699	3347111	   1
P093699	3347650	   1
P093699	3348757	   1
P093699	3349018	   1
P093699	3349435	   1
P093699	3349651	   1
P093699	3350372	   1
P093699	3350737	   1
P093699	3351089	   1
P093699	3351784	   1
P093699	2241680	   1
P093699	2239270	   1
P093699	2242997	   3
P093699	2240688	   3
P095229	2236566	   4
P095229	2240444	   4
P095229	2241660	   4
P093699	2239170	   1
P093699	2240689	   1
P093699	3351012	   3
P095229	875996	   4
P095229	2239858	   4
P095229	3351640	   4
P096360	3351879	   6
P105101	3351879	   6
P104225	3351879	   6
P111840	2243159	   1
P111840	2242001	   1
P111840	3347719	   3
P111840	2243911	   3
P111840	2243120	   3
P111840	2242997	   3
P111840	876631	   3
P111840	145775	   3
P111840	2241665	   3
P111840	2241484	   3
P111840	2240756	   3
P111840	876176	   3
P111840	145723	   3
P111840	2239859	   3
P111840	2239731	   3
P111840	2239067	   3
P111840	2237127	   3
P111840	2236567	   3
P111840	145702	   4
P111840	2239858	   4
P111840	2243598	   4
P111840	875996	   4
P111840	2236566	   4
P111840	3351879	   8
P111840	145897	   3
P111840	2243159	   1
P111840	7669378	   1
P124511	2240449	   2
P124511	2236568	   1
P124511	2239076	   1
P124511	7839143	   1
P124511	2239863	   1
P124511	3347353	   1
P124511	3347719	   1
P124511	3347762	   1
P124511	3348078	   1
P124511	3348313	   1
P073267	3576396	   6
P073267	3576090	   2
P077187	3576396	   8
P100635	3576396	   8
P106735	3433955	   4
P106735	3865483	   8
P106735	3430657	   4
P106735	3433896	   4
P106735	3434137	   4
P106735	3435214	   4
P106735	3435907	   4
P106735	3833578	   4
P106735	3834450	   4
P106735	3835868	   4
P106735	3836276	   4
P106735	3836350	   4
P106735	3837029	   4
P106735	3837152	   4
P106735	3838231	   4
P106735	3838830	   4
P106735	3843122	   4
P106735	3844419	   4
P106735	3848949	   4
P106735	3849574	   4
P106735	3853404	   4
P106735	3860255	   4
P106735	3861244	   4
P106735	3861887	   4
P106735	3862286	   4
P060484	3833512	   1
P060484	3861262	   1
P060484	3855065	   1
P060484	3837441	   1
P060484	3838583	   1
P060484	3839307	   1
P060484	3842265	   1
P060484	3865449	   1
P060484	3866242	   1
P070448	3861244	   4
P070448	3833578	   4
P070448	3848949	   4
P070448	3837152	   4
P070448	3836350	   4
P070448	3860255	   4
P070448	3430657	   4
P070448	3433896	   4
P070448	3434137	   4
P070448	3836276	   4
P070448	3838830	   4
P070448	3844419	   4
P070628	3434137	   4
P070628	3435214	   4
P070628	3836276	   4
P070628	3843122	   4
P070628	3860255	   4
P070628	3861244	   4
P070963	3865483	   6
P088032	3435907	   4
P088032	3433922	   3
P088032	7289234	   3
P088032	3430550	   3
P088032	3430786	   3
P088032	3436394	   3
P088032	3436227	   3
P088032	3865084	   3
P088032	3436042	   3
P088032	3436038	   3
P088032	3433975	   1
P088032	3433800	   3
P088032	3855039	   3
P088032	3480740	   1
P088032	3432039	   3
P088032	3432134	   3
P088032	3431270	   3
P088032	3430696	   3
P088032	3429651	   3
P088032	3429088	   3
P088032	3836848	   3
P088032	3435050	   1
P088220	3429577	   1
P088220	3433715	   1
P088220	3432079	   1
P088220	3859384	   1
P088220	3429786	   1
P088220	3429777	   1
P088220	3855244	   1
P088220	3435261	   1
P088220	3832934	   1
P088220	3835793	   1
P088220	3838583	   1
P088220	3435910	   1
P088220	3845163	   2
P088220	3861887	   4
P088220	3435214	   4
P088220	3430657	   4
P088220	3836276	   4
P088220	3433896	   4
P088220	3434137	   4
P088220	3844473	   1
P088220	3833119	   2
P088220	3833454	   2
P088220	3847836	   1
P088934	3842669	   3
P088934	3856006	   1
P088934	3842670	   1
P089926	3865483	   6
P089926	3861244	   4
P089926	3844419	   4
P089926	3836350	   4
P089926	3840092	   1
P089926	3839307	   1
P089926	3833883	   1
P089926	3860443	   1
P089926	3844421	   1
P089926	3854963	   3
P089926	3854459	   3
P089926	3848352	   3
P089926	3847327	   3
P089926	3836992	   1
P089926	3838759	   1
P089926	3853355	   3
P089926	3835995	   1
P089926	3849516	   1
P089926	3837892	   1
P089926	3833512	   1
P089926	3833520	   1
P089926	3838859	   1
P089926	3866367	   1
P089926	3864851	   1
P089926	3836873	   1
P089926	3834813	   1
P089926	3832260	   1
P089926	3843803	   3
P090993	3865483	   6
P091659	3436479	   2
P091659	3428973	   3
P091659	3433657	   3
P091659	3429353	   2
P091659	3436415	   2
P092836	3865483	   8
P093491	3430657	   4
P093491	3434137	   4
P093491	3435214	   4
P093491	3836276	   4
P093491	3861887	   4
P093491	3433896	   4
P093491	3427420	   1
P093491	3436062	   1
P093491	3435103	   1
P093491	3430709	   1
P093491	3427327	   1
P093491	3436124	   1
P094425	3430657	   4
P094425	3434137	   4
P094425	3435214	   4
P094425	3435907	   4
P094425	3838830	   4
P094425	3843122	   4
P094425	3861244	   4
P095485	3430786	   3
P095485	3433922	   3
P095485	3429577	   1
P095485	3836277	   1
