GID_LAT	GID_LON	mean
-88.92773	0	228.212
-88.92773	1.40625	228.146
-88.92773	2.8125	228.088
-88.92773	4.21875	228.021
-88.92773	5.625	227.96
-88.92773	7.03125	227.903
-88.92773	8.4375	227.842
-88.92773	9.84375	227.777
-88.92773	11.25	227.721
-88.92773	12.65625	227.659
-88.92773	14.0625	227.596
-88.92773	15.46875	227.535
-88.92773	16.875	227.48
-88.92773	18.28125	227.417
-88.92773	19.6875	227.36
-88.92773	21.09375	227.299
-88.92773	22.5	227.241
-88.92773	23.90625	227.187
-88.92773	25.3125	227.135
-88.92773	26.71875	227.077
-88.92773	28.125	227.02
-88.92773	29.53125	226.968
-88.92773	30.9375	226.911
-88.92773	32.34375	226.86
-88.92773	33.75	226.813
-88.92773	35.15625	226.755
-88.92773	36.5625	226.706
-88.92773	37.96875	226.653
-88.92773	39.375	226.61
-88.92773	40.78125	226.557
-88.92773	42.1875	226.505
-88.92773	43.59375	226.465
-88.92773	45	226.433
-88.92773	46.40625	226.388
-88.92773	47.8125	226.357
-88.92773	49.21875	226.312
-88.92773	50.625	226.265
-88.92773	52.03125	226.227
-88.92773	53.4375	226.188
-88.92773	54.84375	226.159
-88.92773	56.25	226.129
-88.92773	57.65625	226.103
-88.92773	59.0625	226.067
-88.92773	60.46875	226.039
-88.92773	61.875	226.01
-88.92773	63.28125	225.987
-88.92773	64.6875	225.964
-88.92773	66.09375	225.942
-88.92773	67.5	225.93
-88.92773	68.90625	225.906
-88.92773	70.3125	225.896
-88.92773	71.71875	225.878
-88.92773	73.125	225.869
-88.92773	74.53125	225.86
-88.92773	75.9375	225.856
-88.92773	77.34375	225.848
-88.92773	78.75	225.845
-88.92773	80.15625	225.843
-88.92773	81.5625	225.845
-88.92773	82.96875	225.85
-88.92773	84.375	225.854
-88.92773	85.78125	225.871
-88.92773	87.1875	225.888
-88.92773	88.59375	225.898
-88.92773	90	225.911
-88.92773	91.40625	225.937
-88.92773	92.8125	225.95
-88.92773	94.21875	225.977
-88.92773	95.625	226.012
-88.92773	97.03125	226.035
-88.92773	98.4375	226.066
-88.92773	99.84375	226.103
-88.92773	101.25	226.14
-88.92773	102.65625	226.18
-88.92773	104.0625	226.221
-88.92773	105.46875	226.266
-88.92773	106.875	226.319
-88.92773	108.28125	226.358
-88.92773	109.6875	226.399
-88.92773	111.09375	226.461
-88.92773	112.5	226.523
-88.92773	113.90625	226.579
-88.92773	115.3125	226.638
-88.92773	116.71875	226.692
-88.92773	118.125	226.761
-88.92773	119.53125	226.823
-88.92773	120.9375	226.888
-88.92773	122.34375	226.955
-88.92773	123.75	227.031
-88.92773	125.15625	227.092
-88.92773	126.5625	227.162
-88.92773	127.96875	227.229
-88.92773	129.375	227.312
-88.92773	130.78125	227.395
-88.92773	132.1875	227.471
-88.92773	133.59375	227.543
-88.92773	135	227.616
-88.92773	136.40625	227.691
-88.92773	137.8125	227.773
-88.92773	139.21875	227.856
-88.92773	140.625	227.93
-88.92773	142.03125	228.011
-88.92773	143.4375	228.092
-88.92773	144.84375	228.173
-88.92773	146.25	228.248
-88.92773	147.65625	228.332
-88.92773	149.0625	228.406
-88.92773	150.46875	228.486
-88.92773	151.875	228.571
-88.92773	153.28125	228.65
-88.92773	154.6875	228.73
-88.92773	156.09375	228.807
-88.92773	157.5	228.876
-88.92773	158.90625	228.96
-88.92773	160.3125	229.04
-88.92773	161.71875	229.108
-88.92773	163.125	229.179
-88.92773	164.53125	229.264
-88.92773	165.9375	229.337
-88.92773	167.34375	229.404
-88.92773	168.75	229.473
-88.92773	170.15625	229.547
-88.92773	171.5625	229.617
-88.92773	172.96875	229.684
-88.92773	174.375	229.752
-88.92773	175.78125	229.817
-88.92773	177.1875	229.873
-88.92773	178.59375	229.94
-88.92773	180	230.009
-88.92773	-178.59375	230.067
-88.92773	-177.1875	230.124
-88.92773	-175.78125	230.176
-88.92773	-174.375	230.232
-88.92773	-172.96875	230.29
-88.92773	-171.5625	230.339
-88.92773	-170.15625	230.386
-88.92773	-168.75	230.438
-88.92773	-167.34375	230.484
-88.92773	-165.9375	230.532
-88.92773	-164.53125	230.577
-88.92773	-163.125	230.616
-88.92773	-161.71875	230.653
-88.92773	-160.3125	230.696
-88.92773	-158.90625	230.733
-88.92773	-157.5	230.763
-88.92773	-156.09375	230.794
-88.92773	-154.6875	230.826
-88.92773	-153.28125	230.862
-88.92773	-151.875	230.891
-88.92773	-150.46875	230.92
-88.92773	-149.0625	230.942
-88.92773	-147.65625	230.964
-88.92773	-146.25	230.981
-88.92773	-144.84375	231.003
-88.92773	-143.4375	231.023
-88.92773	-142.03125	231.042
-88.92773	-140.625	231.054
-88.92773	-139.21875	231.064
-88.92773	-137.8125	231.082
-88.92773	-136.40625	231.096
-88.92773	-135	231.109
-88.92773	-133.59375	231.116
-88.92773	-132.1875	231.118
-88.92773	-130.78125	231.125
-88.92773	-129.375	231.133
-88.92773	-127.96875	231.14
-88.92773	-126.5625	231.144
-88.92773	-125.15625	231.141
-88.92773	-123.75	231.144
-88.92773	-122.34375	231.139
-88.92773	-120.9375	231.136
-88.92773	-119.53125	231.143
-88.92773	-118.125	231.138
-88.92773	-116.71875	231.136
-88.92773	-115.3125	231.132
-88.92773	-113.90625	231.123
-88.92773	-112.5	231.115
-88.92773	-111.09375	231.108
-88.92773	-109.6875	231.107
-88.92773	-108.28125	231.101
-88.92773	-106.875	231.089
-88.92773	-105.46875	231.077
-88.92773	-104.0625	231.069
-88.92773	-102.65625	231.064
-88.92773	-101.25	231.05
-88.92773	-99.84375	231.04
-88.92773	-98.4375	231.02
-88.92773	-97.03125	231.01
-88.92773	-95.625	230.998
