GID_LAT	GID_LON	mean_1870-1999	mean_1995-1999	mean_2015-2030	0	-nan	0	-nan
-88.92773	94.21875	223.615	224.589	225.977	0.974	0.43557	2.362	1.05628
-88.92773	95.625	223.649	224.62	226.012	0.971	0.434162	2.363	1.05657
-88.92773	97.03125	223.678	224.654	226.035	0.976	0.436342	2.357	1.05375
-88.92773	98.4375	223.712	224.679	226.066	0.967	0.432252	2.354	1.05225
-88.92773	99.84375	223.754	224.712	226.103	0.958	0.428149	2.349	1.04981
-88.92773	101.25	223.797	224.75	226.14	0.953	0.425832	2.343	1.04693
-88.92773	102.65625	223.84	224.792	226.18	0.952	0.425304	2.34	1.04539
-88.92773	104.0625	223.886	224.843	226.221	0.957	0.42745	2.335	1.04294
-88.92773	105.46875	223.932	224.885	226.266	0.953	0.425576	2.334	1.04228
-88.92773	106.875	223.984	224.923	226.319	0.939	0.419226	2.335	1.04249
-88.92773	108.28125	224.035	224.979	226.358	0.944	0.421363	2.323	1.03689
-88.92773	109.6875	224.084	225.031	226.399	0.947	0.422609	2.315	1.03309
-88.92773	111.09375	224.143	225.076	226.461	0.933	0.416252	2.318	1.03416
-88.92773	112.5	224.211	225.146	226.523	0.935	0.417018	2.312	1.03117
-88.92773	113.90625	224.272	225.204	226.579	0.932	0.415567	2.307	1.02866
-88.92773	115.3125	224.335	225.262	226.638	0.927	0.413221	2.303	1.02659
-88.92773	116.71875	224.397	225.316	226.692	0.919	0.409542	2.295	1.02274
-88.92773	118.125	224.466	225.38	226.761	0.914	0.407189	2.295	1.02243
-88.92773	119.53125	224.535	225.451	226.823	0.916	0.407954	2.288	1.01899
-88.92773	120.9375	224.609	225.518	226.888	0.909	0.404703	2.279	1.01465
-88.92773	122.34375	224.681	225.582	226.955	0.901	0.401013	2.274	1.0121
-88.92773	123.75	224.757	225.661	227.031	0.904	0.402212	2.274	1.01176
-88.92773	125.15625	224.829	225.726	227.092	0.897	0.39897	2.263	1.00654
-88.92773	126.5625	224.903	225.792	227.162	0.889	0.395282	2.259	1.00443
-88.92773	127.96875	224.981	225.879	227.229	0.898	0.399145	2.248	0.999195
-88.92773	129.375	225.067	225.962	227.312	0.895	0.397659	2.245	0.997481
-88.92773	130.78125	225.151	226.031	227.395	0.88	0.390849	2.244	0.996664
-88.92773	132.1875	225.227	226.103	227.471	0.876	0.388941	2.244	0.996328
-88.92773	133.59375	225.311	226.181	227.543	0.87	0.386133	2.232	0.990631
-88.92773	135	225.392	226.264	227.616	0.872	0.386882	2.224	0.986725
-88.92773	136.40625	225.475	226.339	227.691	0.864	0.383191	2.216	0.982814
-88.92773	137.8125	225.562	226.423	227.773	0.861	0.381713	2.211	0.980218
-88.92773	139.21875	225.646	226.51	227.856	0.864	0.382901	2.21	0.97941
-88.92773	140.625	225.729	226.584	227.93	0.855	0.378773	2.201	0.975063
-88.92773	142.03125	225.813	226.663	228.011	0.85	0.376418	2.198	0.973372
-88.92773	143.4375	225.894	226.742	228.092	0.848	0.375397	2.198	0.973023
-88.92773	144.84375	225.985	226.828	228.173	0.843	0.373034	2.188	0.968206
-88.92773	146.25	226.068	226.916	228.248	0.848	0.375108	2.18	0.964312
-88.92773	147.65625	226.152	226.993	228.332	0.841	0.371874	2.18	0.963953
-88.92773	149.0625	226.236	227.074	228.406	0.838	0.37041	2.17	0.959175
-88.92773	150.46875	226.318	227.15	228.486	0.832	0.367624	2.168	0.957944
-88.92773	151.875	226.404	227.231	228.571	0.827	0.365276	2.167	0.957139
-88.92773	153.28125	226.49	227.32	228.65	0.83	0.366462	2.16	0.953684
-88.92773	154.6875	226.574	227.398	228.73	0.824	0.363678	2.156	0.951565
-88.92773	156.09375	226.656	227.475	228.807	0.819	0.361341	2.151	0.949015
-88.92773	157.5	226.737	227.554	228.876	0.817	0.360329	2.139	0.943384
-88.92773	158.90625	226.823	227.639	228.96	0.816	0.359752	2.137	0.942144
-88.92773	160.3125	226.905	227.715	229.04	0.81	0.356978	2.135	0.940922
-88.92773	161.71875	226.983	227.787	229.108	0.804	0.354212	2.125	0.936193
-88.92773	163.125	227.059	227.862	229.179	0.803	0.353653	2.12	0.933678
-88.92773	164.53125	227.14	227.94	229.264	0.8	0.352206	2.124	0.935106
-88.92773	165.9375	227.217	228.015	229.337	0.798	0.351206	2.12	0.933029
-88.92773	167.34375	227.288	228.087	229.404	0.799	0.351536	2.116	0.930977
-88.92773	168.75	227.367	228.161	229.473	0.794	0.349215	2.106	0.926256
-88.92773	170.15625	227.439	228.236	229.547	0.797	0.350424	2.108	0.926842
-88.92773	171.5625	227.51	228.299	229.617	0.789	0.346798	2.107	0.926113
-88.92773	172.96875	227.583	228.361	229.684	0.778	0.341853	2.101	0.92318
-88.92773	174.375	227.657	228.428	229.752	0.771	0.338667	2.095	0.920244
-88.92773	175.78125	227.725	228.504	229.817	0.779	0.342079	2.092	0.918652
-88.92773	177.1875	227.786	228.574	229.873	0.788	0.345939	2.087	0.916211
-88.92773	178.59375	227.855	228.636	229.94	0.781	0.342762	2.085	0.915056
-88.92773	180	227.923	228.7	230.009	0.777	0.340905	2.086	0.915221
-88.92773	-178.59375	227.981	228.754	230.067	0.773	0.339063	2.086	0.914989
-88.92773	-177.1875	228.044	228.82	230.124	0.776	0.340285	2.08	0.912105
-88.92773	-175.78125	228.102	228.871	230.176	0.769	0.33713	2.074	0.909242
-88.92773	-174.375	228.155	228.925	230.232	0.77	0.33749	2.077	0.910346
-88.92773	-172.96875	228.214	228.978	230.29	0.764	0.334774	2.076	0.909673
-88.92773	-171.5625	228.268	229.029	230.339	0.761	0.33338	2.071	0.907267
-88.92773	-170.15625	228.323	229.084	230.386	0.761	0.3333	2.063	0.903545
-88.92773	-168.75	228.377	229.138	230.438	0.761	0.333221	2.061	0.902455
-88.92773	-167.34375	228.422	229.186	230.484	0.764	0.334469	2.062	0.902715
-88.92773	-165.9375	228.47	229.234	230.532	0.764	0.334398	2.062	0.902525
-88.92773	-164.53125	228.514	229.277	230.577	0.763	0.333896	2.063	0.902789
-88.92773	-163.125	228.559	229.325	230.616	0.766	0.335143	2.057	0.899986
-88.92773	-161.71875	228.598	229.359	230.653	0.761	0.332899	2.055	0.898958
-88.92773	-160.3125	228.641	229.396	230.696	0.755	0.330212	2.055	0.898789
-88.92773	-158.90625	228.678	229.431	230.733	0.753	0.329284	2.055	0.898644
