GID_LAT,GID_LON,mean_1870-1999,mean_1995-1999,mean_2015-2030,abs_diff_1995-1999_1870-1999,prct_abs_diff_1995-1999_1870-1999,abs_diff_2015-2030_1870-1999,prct_abs_diff_2015-2030_1870-1999
-88.92773,81.5625,4.27645,4.60055,5.16034,0.3241,7.57872,0.88389,20.6688
-88.92773,82.96875,4.28744,4.60948,5.16908,0.32204,7.51124,0.88164,20.5633
-88.92773,84.375,4.30012,4.6276,5.17496,0.32748,7.6156,0.87484,20.3445
-88.92773,85.78125,4.31209,4.64836,5.17595,0.33627,7.79831,0.86386,20.0334
-88.92773,87.1875,4.32416,4.65669,5.18683,0.33253,7.69005,0.86267,19.95
-88.92773,88.59375,4.33583,4.65765,5.19716,0.32182,7.42234,0.86133,19.8654
-88.92773,90,4.35054,4.66135,5.20975,0.31081,7.14417,0.85921,19.7495
-88.92773,91.40625,4.36694,4.6839,5.21357,0.31696,7.25817,0.84663,19.3873
-88.92773,92.8125,4.38184,4.69988,5.23814,0.31804,7.25814,0.8563,19.542
-88.92773,94.21875,4.39744,4.71683,5.25509,0.31939,7.26309,0.85765,19.5034
-88.92773,95.625,4.41467,4.72197,5.2635,0.3073,6.96088,0.84883,19.2275
-88.92773,97.03125,4.4334,4.73726,5.27619,0.30386,6.85388,0.84279,19.01
-88.92773,98.4375,4.45152,4.74951,5.29786,0.29799,6.69412,0.84634,19.0124
-88.92773,99.84375,4.47067,4.77294,5.32181,0.30227,6.76118,0.85114,19.0383
-88.92773,101.25,4.48906,4.79062,5.33678,0.30156,6.71766,0.84772,18.8841
-88.92773,102.65625,4.5083,4.80453,5.34917,0.29623,6.57077,0.84087,18.6516
-88.92773,104.0625,4.52849,4.82376,5.3652,0.29527,6.52027,0.83671,18.4766
-88.92773,105.46875,4.54786,4.83792,5.39333,0.29006,6.37794,0.84547,18.5905
-88.92773,106.875,4.56777,4.86,5.42339,0.29223,6.39765,0.85562,18.7317
-88.92773,108.28125,4.58946,4.86946,5.44745,0.28,6.10094,0.85799,18.6948
-88.92773,109.6875,4.61211,4.8907,5.46232,0.27859,6.0404,0.85021,18.4343
-88.92773,111.09375,4.63311,4.9147,5.4726,0.28159,6.07777,0.83949,18.1194
-88.92773,112.5,4.6563,4.93297,5.48804,0.27667,5.94184,0.83174,17.8627
-88.92773,113.90625,4.68203,4.95157,5.5125,0.26954,5.7569,0.83047,17.7374
-88.92773,115.3125,4.70492,4.97678,5.53269,0.27186,5.77821,0.82777,17.5937
-88.92773,116.71875,4.72747,4.99105,5.56928,0.26358,5.5755,0.84181,17.8068
-88.92773,118.125,4.75455,5.02362,5.59002,0.26907,5.65921,0.83547,17.572
-88.92773,119.53125,4.77988,5.03851,5.6079,0.25863,5.41081,0.82802,17.323
-88.92773,120.9375,4.80232,5.05095,5.64211,0.24863,5.17729,0.83979,17.4872
-88.92773,122.34375,4.82822,5.07515,5.67087,0.24693,5.11431,0.84265,17.4526
-88.92773,123.75,4.8538,5.10572,5.68748,0.25192,5.19016,0.83368,17.1758
-88.92773,125.15625,4.87971,5.13252,5.71183,0.25281,5.18084,0.83212,17.0527
-88.92773,126.5625,4.90739,5.16184,5.73792,0.25445,5.18504,0.83053,16.9241
-88.92773,127.96875,4.93623,5.18609,5.76414,0.24986,5.06176,0.82791,16.7721
-88.92773,129.375,4.96285,5.20288,5.79229,0.24003,4.83654,0.82944,16.713
-88.92773,130.78125,4.99055,5.23021,5.81495,0.23966,4.80228,0.8244,16.5192
-88.92773,132.1875,5.01753,5.25974,5.84452,0.24221,4.82728,0.82699,16.482
-88.92773,133.59375,5.04722,5.28537,5.87346,0.23815,4.71844,0.82624,16.3702
-88.92773,135,5.07966,5.31741,5.90573,0.23775,4.68043,0.82607,16.2623
-88.92773,136.40625,5.11179,5.34615,5.9418,0.23436,4.5847,0.83001,16.2372
-88.92773,137.8125,5.14193,5.36341,5.96673,0.22148,4.30733,0.8248,16.0407
-88.92773,139.21875,5.17428,5.3824,5.9926,0.20812,4.0222,0.81832,15.8151
-88.92773,140.625,5.20396,5.4077,6.02676,0.20374,3.9151,0.8228,15.811
-88.92773,142.03125,5.23469,5.43794,6.06779,0.20325,3.88275,0.8331,15.915
-88.92773,143.4375,5.26722,5.46774,6.0956,0.20052,3.80694,0.82838,15.7271
-88.92773,144.84375,5.30259,5.50481,6.12515,0.20222,3.81361,0.82256,15.5124
-88.92773,146.25,5.33724,5.54225,6.16146,0.20501,3.84112,0.82422,15.4428
-88.92773,147.65625,5.37228,5.57009,6.18316,0.19781,3.68205,0.81088,15.0938
-88.92773,149.0625,5.40815,5.60943,6.21118,0.20128,3.72179,0.80303,14.8485
-88.92773,150.46875,5.44337,5.6413,6.24772,0.19793,3.63617,0.80435,14.7767
