GID_LAT	GID_LON	mean
-88.92773	0	225.86
-88.92773	1.40625	225.793
-88.92773	2.8125	225.73
-88.92773	4.21875	225.668
-88.92773	5.625	225.602
-88.92773	7.03125	225.537
-88.92773	8.4375	225.472
-88.92773	9.84375	225.408
-88.92773	11.25	225.348
-88.92773	12.65625	225.284
-88.92773	14.0625	225.219
-88.92773	15.46875	225.156
-88.92773	16.875	225.096
-88.92773	18.28125	225.033
-88.92773	19.6875	224.973
-88.92773	21.09375	224.912
-88.92773	22.5	224.851
-88.92773	23.90625	224.795
-88.92773	25.3125	224.736
-88.92773	26.71875	224.674
-88.92773	28.125	224.618
-88.92773	29.53125	224.564
-88.92773	30.9375	224.509
-88.92773	32.34375	224.459
-88.92773	33.75	224.404
-88.92773	35.15625	224.347
-88.92773	36.5625	224.294
-88.92773	37.96875	224.245
-88.92773	39.375	224.198
-88.92773	40.78125	224.149
-88.92773	42.1875	224.103
-88.92773	43.59375	224.056
-88.92773	45	224.016
-88.92773	46.40625	223.969
-88.92773	47.8125	223.933
-88.92773	49.21875	223.895
-88.92773	50.625	223.853
-88.92773	52.03125	223.814
-88.92773	53.4375	223.777
-88.92773	54.84375	223.743
-88.92773	56.25	223.71
-88.92773	57.65625	223.68
-88.92773	59.0625	223.654
-88.92773	60.46875	223.624
-88.92773	61.875	223.602
-88.92773	63.28125	223.579
-88.92773	64.6875	223.553
-88.92773	66.09375	223.534
-88.92773	67.5	223.516
-88.92773	68.90625	223.498
-88.92773	70.3125	223.489
-88.92773	71.71875	223.476
-88.92773	73.125	223.467
-88.92773	74.53125	223.461
-88.92773	75.9375	223.456
-88.92773	77.34375	223.45
-88.92773	78.75	223.45
-88.92773	80.15625	223.458
-88.92773	81.5625	223.463
-88.92773	82.96875	223.466
-88.92773	84.375	223.47
-88.92773	85.78125	223.485
-88.92773	87.1875	223.505
-88.92773	88.59375	223.522
-88.92773	90	223.546
-88.92773	91.40625	223.568
-88.92773	92.8125	223.593
-88.92773	94.21875	223.615
-88.92773	95.625	223.649
-88.92773	97.03125	223.678
-88.92773	98.4375	223.712
-88.92773	99.84375	223.754
-88.92773	101.25	223.797
-88.92773	102.65625	223.84
-88.92773	104.0625	223.886
-88.92773	105.46875	223.932
-88.92773	106.875	223.984
-88.92773	108.28125	224.035
-88.92773	109.6875	224.084
-88.92773	111.09375	224.143
-88.92773	112.5	224.211
-88.92773	113.90625	224.272
-88.92773	115.3125	224.335
-88.92773	116.71875	224.397
-88.92773	118.125	224.466
-88.92773	119.53125	224.535
-88.92773	120.9375	224.609
-88.92773	122.34375	224.681
-88.92773	123.75	224.757
-88.92773	125.15625	224.829
-88.92773	126.5625	224.903
-88.92773	127.96875	224.981
-88.92773	129.375	225.067
-88.92773	130.78125	225.151
-88.92773	132.1875	225.227
-88.92773	133.59375	225.311
-88.92773	135	225.392
-88.92773	136.40625	225.475
-88.92773	137.8125	225.562
-88.92773	139.21875	225.646
-88.92773	140.625	225.729
-88.92773	142.03125	225.813
-88.92773	143.4375	225.894
-88.92773	144.84375	225.985
-88.92773	146.25	226.068
-88.92773	147.65625	226.152
-88.92773	149.0625	226.236
-88.92773	150.46875	226.318
-88.92773	151.875	226.404
-88.92773	153.28125	226.49
-88.92773	154.6875	226.574
-88.92773	156.09375	226.656
-88.92773	157.5	226.737
-88.92773	158.90625	226.823
-88.92773	160.3125	226.905
-88.92773	161.71875	226.983
-88.92773	163.125	227.059
-88.92773	164.53125	227.14
-88.92773	165.9375	227.217
-88.92773	167.34375	227.288
-88.92773	168.75	227.367
-88.92773	170.15625	227.439
-88.92773	171.5625	227.51
-88.92773	172.96875	227.583
-88.92773	174.375	227.657
-88.92773	175.78125	227.725
-88.92773	177.1875	227.786
-88.92773	178.59375	227.855
-88.92773	180	227.923
-88.92773	-178.59375	227.981
-88.92773	-177.1875	228.044
-88.92773	-175.78125	228.102
-88.92773	-174.375	228.155
-88.92773	-172.96875	228.214
-88.92773	-171.5625	228.268
-88.92773	-170.15625	228.323
-88.92773	-168.75	228.377
-88.92773	-167.34375	228.422
-88.92773	-165.9375	228.47
-88.92773	-164.53125	228.514
-88.92773	-163.125	228.559
-88.92773	-161.71875	228.598
-88.92773	-160.3125	228.641
-88.92773	-158.90625	228.678
-88.92773	-157.5	228.714
-88.92773	-156.09375	228.749
-88.92773	-154.6875	228.781
-88.92773	-153.28125	228.812
-88.92773	-151.875	228.841
-88.92773	-150.46875	228.865
-88.92773	-149.0625	228.891
-88.92773	-147.65625	228.915
-88.92773	-146.25	228.938
-88.92773	-144.84375	228.956
-88.92773	-143.4375	228.974
-88.92773	-142.03125	228.993
-88.92773	-140.625	229.007
-88.92773	-139.21875	229.023
-88.92773	-137.8125	229.034
-88.92773	-136.40625	229.051
-88.92773	-135	229.058
-88.92773	-133.59375	229.063
-88.92773	-132.1875	229.067
-88.92773	-130.78125	229.074
-88.92773	-129.375	229.08
-88.92773	-127.96875	229.083
-88.92773	-126.5625	229.085
-88.92773	-125.15625	229.087
-88.92773	-123.75	229.086
-88.92773	-122.34375	229.084
-88.92773	-120.9375	229.08
-88.92773	-119.53125	229.078
-88.92773	-118.125	229.074
-88.92773	-116.71875	229.068
-88.92773	-115.3125	229.061
-88.92773	-113.90625	229.056
-88.92773	-112.5	229.048
-88.92773	-111.09375	229.037
-88.92773	-109.6875	229.03
-88.92773	-108.28125	229.019
-88.92773	-106.875	229.008
-88.92773	-105.46875	228.998
-88.92773	-104.0625	228.985
-88.92773	-102.65625	228.968
-88.92773	-101.25	228.957
-88.92773	-99.84375	228.943
-88.92773	-98.4375	228.929
-88.92773	-97.03125	228.915
-88.92773	-95.625	228.897
-88.92773	-94.21875	228.88
-88.92773	-92.8125	228.865
-88.92773	-91.40625	228.844
-88.92773	-90	228.822
-88.92773	-88.59375	228.802
-88.92773	-87.1875	228.782
-88.92773	-85.78125	228.758
-88.92773	-84.375	228.738
-88.92773	-82.96875	228.715
-88.92773	-81.5625	228.694
-88.92773	-80.15625	228.666
-88.92773	-78.75	228.639
-88.92773	-77.34375	228.614
-88.92773	-75.9375	228.587
-88.92773	-74.53125	228.558
-88.92773	-73.125	228.53
-88.92773	-71.71875	228.499
-88.92773	-70.3125	228.469
-88.92773	-68.90625	228.435
-88.92773	-67.5	228.404
-88.92773	-66.09375	228.369
-88.92773	-64.6875	228.331
-88.92773	-63.28125	228.299
-88.92773	-61.875	228.263
-88.92773	-60.46875	228.222
-88.92773	-59.0625	228.182
-88.92773	-57.65625	228.145
-88.92773	-56.25	228.107
-88.92773	-54.84375	228.064
-88.92773	-53.4375	228.021
-88.92773	-52.03125	227.976
-88.92773	-50.625	227.931
-88.92773	-49.21875	227.887
-88.92773	-47.8125	227.84
-88.92773	-46.40625	227.79
-88.92773	-45	227.743
-88.92773	-43.59375	227.693
-88.92773	-42.1875	227.643
-88.92773	-40.78125	227.593
-88.92773	-39.375	227.543
-88.92773	-37.96875	227.488
-88.92773	-36.5625	227.433
-88.92773	-35.15625	227.38
-88.92773	-33.75	227.323
-88.92773	-32.34375	227.271
-88.92773	-30.9375	227.216
-88.92773	-29.53125	227.156
-88.92773	-28.125	227.094
-88.92773	-26.71875	227.043
-88.92773	-25.3125	226.981
-88.92773	-23.90625	226.924
-88.92773	-22.5	226.865
-88.92773	-21.09375	226.805
-88.92773	-19.6875	226.741
-88.92773	-18.28125	226.682
-88.92773	-16.875	226.619
-88.92773	-15.46875	226.556
-88.92773	-14.0625	226.496
-88.92773	-12.65625	226.434
-88.92773	-11.25	226.37
-88.92773	-9.84375	226.307
-88.92773	-8.4375	226.242
-88.92773	-7.03125	226.184
-88.92773	-5.625	226.114
-88.92773	-4.21875	226.054
-88.92773	-2.8125	225.985
-88.92773	-1.40625	225.925
-87.5387	0	226.97
-87.5387	1.40625	226.833
-87.5387	2.8125	226.691
-87.5387	4.21875	226.561
-87.5387	5.625	226.425
-87.5387	7.03125	226.291
-87.5387	8.4375	226.159
-87.5387	9.84375	226.025
-87.5387	11.25	225.9
-87.5387	12.65625	225.766
-87.5387	14.0625	225.643
-87.5387	15.46875	225.521
-87.5387	16.875	225.388
-87.5387	18.28125	225.268
-87.5387	19.6875	225.154
-87.5387	21.09375	225.034
-87.5387	22.5	224.917
-87.5387	23.90625	224.798
-87.5387	25.3125	224.69
-87.5387	26.71875	224.58
-87.5387	28.125	224.469
-87.5387	29.53125	224.356
-87.5387	30.9375	224.251
-87.5387	32.34375	224.142
-87.5387	33.75	224.038
-87.5387	35.15625	223.939
-87.5387	36.5625	223.84
-87.5387	37.96875	223.739
-87.5387	39.375	223.638
-87.5387	40.78125	223.54
-87.5387	42.1875	223.437
-87.5387	43.59375	223.344
-87.5387	45	223.246
-87.5387	46.40625	223.154
-87.5387	47.8125	223.063
-87.5387	49.21875	222.971
-87.5387	50.625	222.88
-87.5387	52.03125	222.798
-87.5387	53.4375	222.709
-87.5387	54.84375	222.624
-87.5387	56.25	222.54
-87.5387	57.65625	222.458
-87.5387	59.0625	222.38
-87.5387	60.46875	222.301
-87.5387	61.875	222.223
-87.5387	63.28125	222.151
-87.5387	64.6875	222.081
-87.5387	66.09375	222.008
-87.5387	67.5	221.939
-87.5387	68.90625	221.875
-87.5387	70.3125	221.815
-87.5387	71.71875	221.756
-87.5387	73.125	221.699
-87.5387	74.53125	221.648
-87.5387	75.9375	221.601
-87.5387	77.34375	221.56
-87.5387	78.75	221.518
-87.5387	80.15625	221.484
-87.5387	81.5625	221.457
-87.5387	82.96875	221.434
-87.5387	84.375	221.415
-87.5387	85.78125	221.405
-87.5387	87.1875	221.401
