GRUMP_GID	mean_ts_prct_abs_diff_2015-2030_1870-1999	mean_ppt_prct_abs_diff_2015-2030_1870-1999	mean_ppt_prct_abs_diff_1995-1999_1870-1999	sum_aid	mean_ts_prct_abs_diff_1995-1999_1870-1999
12056	0.73437886324785	5.36453327327377	3.91876567336646	NA	0.29887514322012
70101	0.34524	2.36828	1.54217	561250.839477543	0.168279
52241	0.44187603874092	6.42779162227604	0.33780551331719	NA	0.21379169975787
61442	0.367334	13.1769	3.43076000000001	NA	0.155656
55259	0.391585	6.40084	5.81679	123785.046386719	0.184793
75111	0.37078499999996	1.40621999999986	3.95709999999961	NA	0.16165799999998
33237	0.69158	5.84597000000001	0.451609	145360.806060799	0.332735
72005	0.407663	14.1153000000001	2.60056999999999	532114.055419922	0.178332
23198	0.716697	2.00656000000001	2.02401000000001	6550.20956993117	0.346344
38301	0.65734620781353	6.5847960515787	5.14041122364276	NA	0.24133114694609
19902	0.65394615384616	1.14959000000001	1.52172307692309	NA	0.22276184615385
73088	0.361543	2.20015	1.46768	6355798.62988229	0.153089
54157	0.45470927868852	10.2378540983607	5.19224540983606	238167.399414062	0.20893345901639
46507	0.603911	13.2958	7.23587999999999	NA	0.285991
63771	0.37527350145772	7.40415061224491	4.91746979591835	1004009.21514893	0.1910903877551
61790	0.31358999999997	0.71901299999993	0.37608199999996	3009085.73926122	0.16132299999999
41442	0.420916	9.89522	7.77228000000001	NA	0.194216
57485	0.19638699999999	13.4862999999995	3.39684999999987	214842.103393533	0.12651499999999
56805	0.380638	5.10528	0.316823	269066.197753906	0.143251
28503	0.82050499999998	0.86427399999998	1.75949999999997	NA	0.40360999999999
64358	0.452415	6.87289999999997	6.52977999999997	62612.9461669923	0.150694
82139	0.514025	0.00767068	2.18509	27691172.9940209	0.266644
49452	0.525632	3.77598000000003	3.33862000000003	669504.208984386	0.26333
65146	0.409147	4.08685	3.9963	126071.929077148	0.161058
58304	0.244053	9.97352	9.77897	96812.2094726562	0.053638
55695	0.270936	5.53148	4.64947	370520.690917969	0.10542
65197	0.331864	7.46199000000001	2.72542	297185.822021484	0.139503
56657	0.363938	7.18158	9.01933000000001	278107.09967041	0.143012
23470	0.91778517379679	6.07316641711221	5.18805499999993	9948.6138381957	0.46375568983956
32549	0.500068	11.1862000000001	1.63124	NA	0.147429
56561	0.44956	3.33272	3.35282	180850.467086792	0.178497
53874	0.425878	12.6181	9.21159	202620.026367188	0.212769
86798	0.38399600000001	4.98991999999999	1.20128	NA	0.198404
57921	0.153187	14.0209	9.16387	250694.787597656	0.0418087
80370	0.39403107185275	1.24210612232781	1.86181238123513	196286031.120667	0.15889774643705
38445	0.75645600000002	2.54513000000006	6.35232000000015	8555.9682769776	0.40686000000001
80589	0.49500900000001	5.34600000000014	0.72384200000002	22116.181137085	0.25089000000001
77168	0.40939299999999	4.17290999999988	1.21835999999997	4483915.03027246	0.170102
79681	0.360822	4.82565999999996	3.08098999999998	112232.313720702	0.153548
66168	0.32933497743471	0.28041098078687	2.569669823932	NA	0.15440698942038
61718	0.555087	5.74284999999999	3.25837	182302.8203125	0.25585
