GID_LAT	GID_LON	mean
-88.92773	0	5.16063
-88.92773	1.40625	5.12818
-88.92773	2.8125	5.10698
-88.92773	4.21875	5.08076
-88.92773	5.625	5.06216
-88.92773	7.03125	5.03993
-88.92773	8.4375	5.01747
-88.92773	9.84375	4.98972
-88.92773	11.25	4.96534
-88.92773	12.65625	4.94984
-88.92773	14.0625	4.92442
-88.92773	15.46875	4.90389
-88.92773	16.875	4.88184
-88.92773	18.28125	4.86272
-88.92773	19.6875	4.84581
-88.92773	21.09375	4.83624
-88.92773	22.5	4.82669
-88.92773	23.90625	4.80708
-88.92773	25.3125	4.78208
-88.92773	26.71875	4.76937
-88.92773	28.125	4.76568
-88.92773	29.53125	4.74777
-88.92773	30.9375	4.73339
-88.92773	32.34375	4.71549
-88.92773	33.75	4.69947
-88.92773	35.15625	4.68549
-88.92773	36.5625	4.66581
-88.92773	37.96875	4.66247
-88.92773	39.375	4.65902
-88.92773	40.78125	4.6533
-88.92773	42.1875	4.63842
-88.92773	43.59375	4.62475
-88.92773	45	4.61347
-88.92773	46.40625	4.60961
-88.92773	47.8125	4.59803
-88.92773	49.21875	4.58203
-88.92773	50.625	4.56152
-88.92773	52.03125	4.56104
-88.92773	53.4375	4.57303
-88.92773	54.84375	4.58136
-88.92773	56.25	4.57435
-88.92773	57.65625	4.56322
-88.92773	59.0625	4.55454
-88.92773	60.46875	4.5501
-88.92773	61.875	4.54709
-88.92773	63.28125	4.54188
-88.92773	64.6875	4.53863
-88.92773	66.09375	4.53801
-88.92773	67.5	4.54434
-88.92773	68.90625	4.55134
-88.92773	70.3125	4.56217
-88.92773	71.71875	4.56707
-88.92773	73.125	4.57029
-88.92773	74.53125	4.57515
-88.92773	75.9375	4.57818
-88.92773	77.34375	4.57865
-88.92773	78.75	4.58189
-88.92773	80.15625	4.59624
-88.92773	81.5625	4.60055
-88.92773	82.96875	4.60948
-88.92773	84.375	4.6276
-88.92773	85.78125	4.64836
-88.92773	87.1875	4.65669
-88.92773	88.59375	4.65765
-88.92773	90	4.66135
-88.92773	91.40625	4.6839
-88.92773	92.8125	4.69988
-88.92773	94.21875	4.71683
-88.92773	95.625	4.72197
-88.92773	97.03125	4.73726
-88.92773	98.4375	4.74951
-88.92773	99.84375	4.77294
-88.92773	101.25	4.79062
-88.92773	102.65625	4.80453
