GRUMP_GID	GEONAMEIDS	ASCIINAMES	GEONAME_POP	GRUMP_POP	sum_aid	mean_ppt_prct_abs_diff_1995-1999_1870-1999	mean_ppt_prct_abs_diff_2015-2030_1870-1999	mean_ts_prct_abs_diff_1995-1999_1870-1999	mean_ts_prct_abs_diff_2015-2030_1870-1999
27046	6159244	Summerside	14808	25093	0	0.171382	1.06578	0.273905	0.713736
25809	3044310	Szombathely	79534	72737	0	3.63283999999989	2.56603999999992	0.27701499999999	0.72172499999998
54333	1256832	Seohara	46546	43531	90135.5053710938	4.73809	2.25106	0.157249	0.388357
26338	3026204	Chateauroux	53301	66599	0	2.67903999999999	5.18554999999999	0.220898	0.691582
70335	2422442	Dabola	13057	14381	19904.7573852539	0.84832	0.755311	0.178591	0.394444
45413	4639224	Manchester	10102	15383	0	3.25224019667989	3.88483023493589	0.24461401479308	0.57401003471337
61869	6414184	Fatikchari	33200	58666	686140.350463867	0.80293700000001	1.94186000000002	0.193507	0.377272
74490	2234663	Batouri	43821	26409	6084.7861328125	1.18482999999999	3.40238999999998	0.155259	0.349333
60229	1256673	Shamgarh	23075	21089	44484.9614257812	5.74056	7.92382	0.133437	0.377848
26802	3175235|3181913	Bolzano|Laives	109759	142886	0	7.13737999999997	4.54904	0.243042	0.748454
49448	1258891	Rajauri	27792	20381	0	6.3368	5.75798	0.226546	0.472959
35919	5582392	Sterling	14777	15586	0	4.52442032786871	4.25351890710373	0.30751321857922	0.70153016393441
59911	110325	"Ad Dawadimi"	54474	49943	0	17.7629063444108	67.1595564954682	0.30671070392749	0.66154128096677
19990	2959223	Ahlen	55280	56537	0	2.01792000000005	0.96320600000002	0.216136	0.67258000000002
60784	1270343	Harij	18964	17884	12012.2839355442	10.9753999999955	16.8714999999931	0.15056099999994	0.40561399999983
37852	1787646	Yangcun	63756	44502	174005.16204071	1.85039	12.8764	0.267878	0.544328
61725	1271107	Godhra	131913	119845	192535.933959961	7.52314999999999	9.13771999999999	0.145847	0.421485
23968	696943|699445|709930|709932	Dniprodzerzhyns'k|Dnipropetrovsk|Novomoskovs'k|Pidhorodne	1371600	1719526	738895.251342774	0.76097914917752	1.10396156040839	0.35253706693138	0.7049118593307
59871	1276152	Bhanpura	17082	16345	44484.9614257812	5.74056	7.92382	0.133437	0.377848
61416	1275462	Bishnupur	64041	61623	336311.546508789	0.958956	4.23356	0.141654	0.303067
66692	3516843|3520064	"Salina Cruz|Santo Domingo Tehuantepec"	111037	121324	1200245.90542603	3.20726999999992	0.48816899999999	0.16659299999999	0.36000299999999
60326	1262412|1277820	Baharampur|Murshidabad	220104	329506	771133.109619141	4.14998000000001	0.251428	0.200362	0.297862
28072	3168018|3168970|3178622|3179684|3182297|6534222	"Bassano del Grappa|Castelfranco Veneto|Cittadella|Romano d'Ezzelino|Rosa|San Martino di Lupari"	114369	190679	0	6.08048472289159	4.90704795180725	0.26903930120482	0.7697568939759
29541	537281	Labinsk	61945	67236	6486.99900054937	2.27436	1.34295	0.345792	0.61357
56032	1162004|1164408|1166827	Khairpur|Rohri|Sukkur	593018	528163	3572693.29296873	6.70380999999997	9.38068999999996	0.218988	0.49899300000001
5562	602913	Skelleftea	30839	32150	0	3.45427999999994	9.33330999999998	0.396371	0.98727699999997
18677	2844437	Rotenburg	22139	21505	0	2.10388999999995	1.30873999999997	0.22620499999999	0.65869699999998
30488	2993586|3028322	Castelsarrasin|Moissac	26963	17124	0	1.60247	7.01234999999999	0.236393	0.713753
30496	671584|672486|680963	Constanta|Navodari|Ovidiu	349762	417247	2564815.56225586	6.82045000000004	4.73164999999997	0.335331	0.596805
34975	1512501	"Uchqurghon Shahri"	33323	28834	110282.769374848	4.13334999999996	1.27021999999999	0.449692	0.83704799999999
3520	3160881	Bodo	34073	20967	0	0.346187396	11.347662	0.35463138	0.69139872
82519	3446098	"Tres Lagoas"	78712	72029	824620.375511169	0.201556	0.333039	0.184899	0.432328
53394	4330236|4333961|4342816	"Lake Charles|Moss Bluff|Sulphur"	103960	163549	0	1.65590999999997	1.36947000000001	0.212224	0.449476
47034	1133574	"Mehtar Lam"	17345	122005	294013.737060541	4.73247999999997	14.5352999999999	0.309719	0.650587
68655	1252997|1278432	Arcot|Walajapet	82199	179976	22753166.6666239	1.52021999999997	6.2975899999999	0.145076	0.30482599999999
72512	2291666	Biankouma	22868	12300	13762.4516601562	1.36475	1.99114	0.108034	0.302964
62616	1336133	Satkania	52005	67571	270844.875183105	3.27738	5.28019	0.155254	0.3259
69003	2342192	Gambaru	84672	73946	63733.9850082402	3.42493000000004	1.11329000000001	0.211576	0.46734300000001
34740	738907|740264	Samsun|Tekkekoy	411276	360047	274982.507858277	3.90177999999999	1.89496000000001	0.269977	0.511553
82753	3446077	"Tres Pontas"	43749	41299	220826.681213387	0.40554391230967	1.56039966259643	0.19998095675833	0.45174590231946
71891	3670419	Sahagun	59188	51484	69550.1773681641	2.60057	14.1153	0.178332	0.407663
66507	1610469	Kalasin	55102	46849	0	1.89673	0.976716	0.127971	0.333602
20585	2807788	Winterberg	14601	11015	0	2.01792000000005	0.96320600000002	0.21613600000001	0.67258000000002
17604	2844588|2953528|9222696	"Bad Doberan|Dierkow-Neu|Rostock"	220404	230555	0	3.01896476575124	2.1312595638126	0.2442835638126	0.65918437641356
57181	3571971|3572375	Freeport|Lucaya	73435	25620	0	3.52261206896551	10.9858025615762	0.12449334975369	0.28382521182266
9760	470546	Vyborg	78633	35537	18893.8025951385	5.51016592274675	5.77003188841199	0.35200301287553	0.91591577682403
48366	1810553	Gaogou	56214	92233	11220.7949752808	4.31648183211802	5.23245222089896	0.18390907805967	0.46625219789937
44984	4452808|4459343|4459467|4460162|4460943|4464368|4467485|4467657|4474527|4480285|4487042|4497290|4498303	"Apex|Carrboro|Cary|Chapel Hill|Clayton|Durham|Fuquay-Varina|Garner|Knightdale|Morrisville|Raleigh|Wake Forest|West Raleigh"	1340398	932065	537556.540374754	2.92046000000005	7.28617999999958	0.22252500000001	0.49720499999999
59072	4013723	"Ciudad Constitucion"	39915	13829	372648.412109348	2.24831999999991	10.8789999999995	0.17049799999999	0.39258099999998
17375	2638419	Scarborough	38909	39575	0	1.35901000000001	1.44289	0.216405	0.520081
71741	1256934	Sayalkudi	12415	11563	345910.539550785	1.57088	0.661549	0.15546	0.342544
15537	5935804	"Dawson Creek"	10802	15081	0	1.49862326086954	9.36693282608685	0.41268	0.82372413043478
79148	3392251	Pesqueira	41896	36655	175080.4933548	6.31450000000009	15.7389000000002	0.162735	0.46376100000001
33412	786712	Prizren	171464	98547	51134.9334716797	0.451609	5.84597	0.332735	0.69158
39414	1788450	Xinzhou	154003	207448	12647.6655044555	3.21883037872512	12.9622015251226	0.3205460377152	0.56149406606496
43708	135423	Shahrud	131889	118099	0	2.31600132890365	3.16334086378727	0.31583997674419	0.6514297807309
53276	4692279	Fredericksburg	10530	12228	0	2.24182999999995	2.19491999999996	0.28997699999999	0.57312299999999
20682	2803443	Aalter	18802	11887	0	1.2542	0.541708	0.205426	0.593649
43479	307657	Kirikhan	60916	63681	16418.2093963625	6.87396000000006	5.77194000000004	0.34687	0.66341100000001
72951	330534	"Mizan Teferi"	14002	12898	34896.4969482422	7.98266999999959	15.5282999999992	0.13469599999999	0.30423999999998
81520	2172797	Cairns	153075	140961	0	2.61560187749283	4.29134920227908	0.16441243304843	0.40521815384614
