geonameid,name,asciiname,latitude,longitude,population
98182,Baghdad,Baghdad,33.34058,44.40088,5672513
98245,Az Zubayr,Az Zubayr,30.39213,47.70174,122676
98459,Aş Şuwayrah,As Suwayrah,32.92556,44.77583,42354
98463,As Sulaymānīyah,As Sulaymaniyah,35.56496,45.4329,723170
98530,As Samawah,As Samawah,31.33198,45.2944,152890
98589,Nāḩiyat ash Shināfīyah,Nahiyat ash Shinafiyah,31.58376,44.64675,22643
98622,Ash Shaţrah,Ash Shatrah,31.40906,46.1727,82732
98629,Ash Shāmīyah,Ash Shamiyah,31.96257,44.60075,57661
98677,Ar Ruţbah,Ar Rutbah,33.03718,40.28586,22370
98685,Ar Rumaythah,Ar Rumaythah,31.52845,45.20377,47248
98717,Ramadi,Ramadi,33.42056,43.30778,274539
98822,‘Aqrah,'Aqrah,36.73322,43.87964,23000
98854,An Nāşirīyah,An Nasiriyah,31.05799,46.25726,400249
98860,An Najaf al Ashraf,An Najaf al Ashraf,32.02594,44.34625,482576
98885,‘Anat al Qadīmah,`Anat al Qadimah,34.46934,41.94224,19719
99010,Imam Qasim,Imam Qasim,32.29799,44.68282,36992
99039,Al Musayyib,Al Musayyib,32.78396,44.27662,42901
99060,Al Mishkhāb,Al Mishkhab,31.80436,44.4893,23189
99062,Al Miqdādīyah,Al Miqdadiyah,33.97861,44.93694,50698
99071,Al Mawşil al Jadīdah,Al Mawsil al Jadidah,36.33091,43.09065,2065597
99072,Mosul,Mosul,36.335,43.11889,1739800
99131,Al Kūt,Al Kut,32.5128,45.81817,315162
99135,Kufa,Kufa,32.05114,44.44017,110000
99169,Khāliş,Khalis,33.80809,44.53344,70046
99306,‘Alī al Gharbī,`Ali al Gharbi,32.46186,46.68794,19711
99344,Al Hindīyah,Al Hindiyah,32.54217,44.22111,57490
99347,Al Ḩillah,Al Hillah,32.46367,44.41963,289709
99350,Al Ḩayy,Al Hayy,32.17419,46.04345,78272
99369,Al Hārithah,Al Harithah,30.71861,47.72083,92395
99434,Nahiyat Ghammas,Nahiyat Ghammas,31.74311,44.6196,30909
99439,Nāḩiyat al Fuhūd,Nahiyat al Fuhud,30.96972,46.72278,21551
99446,Al Fāw,Al Faw,29.97421,48.47309,104569
99454,Al Fallūjah,Al Fallujah,33.35581,43.78612,190159
99532,Al Başrah,Al Basrah,30.53302,47.79747,2600000
99548,Al ‘Azīzīyah,Al `Aziziyah,32.90941,45.06359,44751
99608,Al ‘Amārah,Al `Amarah,31.83588,47.144,323302
99738,‘Afak,`Afak,32.0643,45.24743,21888
99759,Ad Dujayl,Ad Dujayl,33.84667,44.23444,26362
99762,Ad Dīwānīyah,Ad Diwaniyah,31.99289,44.92552,318801
100077,Abū Ghurayb,Abu Ghurayb,33.30703,44.18694,900000
100425,Yanbu‘ al Baḩr,Yanbu` al Bahr,24.08912,38.06374,200161
100926,Umm Lajj,Umm Lajj,25.02126,37.2685,33874
101035,Umm as Sāhik,Umm as Sahik,26.65361,49.91639,11813
101312,Ţurayf,Turayf,31.67252,38.66374,40819
101322,Turabah,Turabah,21.21406,41.6331,23235
101554,Tārūt,Tarut,26.57332,50.03694,85371
101581,Tanūmah,Tanumah,27.1,44.13333,13594
101628,Tabūk,Tabuk,28.3998,36.5715,455450
101631,Ţubarjal,Tubarjal,30.49987,38.21603,40019
101760,Sulţānah,Sultanah,24.49258,39.58572,946697
102318,Sayhāt,Sayhat,26.48522,50.04046,66702
102451,Şāmitah,Samitah,16.59601,42.94435,26945
102527,Sakākā,Sakaka,29.96974,40.20641,128332
102585,Şafwá,Safwa,26.64986,49.95223,45876
102651,Şabyā,Sabya,17.1495,42.62537,54108
102985,Raḩīmah,Rahimah,26.70791,50.06194,41188
103035,Rābigh,Rabigh,22.79856,39.03493,41759
