GID_GRUMP	GEONAMEIDS	ASCIINAMES	GEONAME_POP	GRUMP_POP
36293	2037391	Beichengqu	72444	85131
36356	3165926|3166189|3167044|3168295|3171664|3172499|3173762|3174096|3174653|3175773|3177808|3179655|8948709	"Castellaneta|Crispiano|Grottaglie|Lizzano|Manduria|Massafra|Mottola|Palagiano|Paolo VI|San Giorgio Ionico|Sava|Statte|Taranto"	397813	464471
36357	4863349	Keokuk	10780	18694
36358	3128382	Bejar	15007	13683
36359	738618	Turhal	110884	95648
36360	3182153	Bernalda	10763	10479
36361	4922462|4928096	"Lafayette|West Lafayette"	96736	137137
36362	3168699	"Sala Consilina"	11734	28899
36367	2980313|2987914|3028832|3037068|3104584|3105184|3105600|3105803|3105885|3105935|3106180|3106492|3106515|3107677|3107700|3107807|3107955|3108286|3108288|3108877|3109402|3109442|3109546|3109551|3109689|3109804|3109981|3109982|3110064|3110101|3110143|311051	"Abrera|Alcanar|Amposta|Arenys de Mar|Argelers|Argentona|Badalona|Banyoles|Barbera del Valles|Barcelona|Benicarlo|Blanes|Calafell|Caldes de Montbui|Calella|Calonge|Cambrils|Canet de Mar|Canet-en-Roussillon|Canovelles|Cardedeu|Castellar del Valles|Castellb"	7467343	5722462
36369	1513650|1514615	Hamza|Oltiariq	39013	24070
36386	1512320|1512979	Qo`qon|Yaypan	207809	729644
36390	2129211|2130203	Hachinohe|Misawa	281851	381487
36392	5582371	"Steamboat Springs"	12088	12312
36401	740088	Sarikamis	23665	23229
36412	741878	Lapseki	10076	12214
36422	616599	Gavarr	21680	32668
36434	616065	Yeghvard	10705	12872
36448	1512568|1513243|1513491|1513555|1514019	Fergana|Kirgili|Komsomol'skiy|Marg`ilon|Toshloq	359071	568175
36457	751077	Bandirma	107631	96731
36458	738743	Tokat	129702	113361
36460	3172154	Nuoro	35948	32672
36462	5570160|5571109	"Redding|Shasta Lake"	100025	140971
36464	5572400	Susanville	17947	20221
36465	5576909|5577147|5577592|5579368|5583509	"Evans|Fort Collins|Greeley|Loveland|Windsor"	340915	350639
36467	781443	Tepelene	11955	10722
36468	739914	Sebinkarahisar	47360	36587
36469	616877	Ashtarak	18779	27064
36471	3108126	Teruel	35396	11027
36473	734426|735563	Kozani|Ptolemaida	66526	64891
36474	587057	Barda	37372	35262
36486	737054	Zile	55680	52617
36492	4920473	Frankfort	16422	18967
36502	3183412	Agropoli	17335	54092
36506	737611	Yenisehir	28656	26077
36515	735914	Katerini	53293	63759
36527	5207728|5220248	Reading|Wyomissing	98543	237431
36537	2033602	Xiuyan	71614	82919
36553	750938	Bayburt	31258	32358
36554	2740313	Covilha	17610	32537
36557	3174367	Macomer	10375	10488
36558	5577158	"Fort Morgan"	11315	21867
